# Baseline performance
gcp_info_pd_baseline_iops_per_instance{pd_type="zonal-balanced-pd"} 3000
gcp_info_pd_baseline_iops_per_instance{pd_type="zonal-ssd-pd"} 6000

# 140 MiBps
gcp_info_pd_baseline_throughput_per_instance_bytes_sec{pd_type="zonal-balanced-pd"} 146800640
# 240 MiBps
gcp_info_pd_baseline_throughput_per_instance_bytes_sec{pd_type="zonal-ssd-pd"} 251658240

# # Zonal disks
gcp_info_pd_read_iops_per_gb{pd_type="zonal-standard-pd"} 0.75
gcp_info_pd_read_iops_per_gb{pd_type="zonal-balanced-pd"} 6
gcp_info_pd_read_iops_per_gb{pd_type="zonal-ssd-pd"} 30

gcp_info_pd_write_iops_per_gb{pd_type="zonal-standard-pd"} 1.5
gcp_info_pd_write_iops_per_gb{pd_type="zonal-balanced-pd"} 6
gcp_info_pd_write_iops_per_gb{pd_type="zonal-ssd-pd"} 30

gcp_info_pd_read_iops_per_instance_max{pd_type="zonal-standard-pd"} 7500
gcp_info_pd_read_iops_per_instance_max{pd_type="zonal-balanced-pd"} 80000
gcp_info_pd_read_iops_per_instance_max{pd_type="zonal-ssd-pd"} 100000
gcp_info_pd_read_iops_per_instance_max{pd_type="zonal-extreme-pd"} 120000
gcp_info_pd_read_iops_per_instance_max{pd_type="zonal-ssd-pd-multiwriter"} 100000

gcp_info_pd_write_iops_per_instance_max{pd_type="zonal-standard-pd"} 15000
gcp_info_pd_write_iops_per_instance_max{pd_type="zonal-balanced-pd"} 80000
gcp_info_pd_write_iops_per_instance_max{pd_type="zonal-ssd-pd"} 100000
gcp_info_pd_write_iops_per_instance_max{pd_type="zonal-extreme-pd"} 120000
gcp_info_pd_write_iops_per_instance_max{pd_type="zonal-ssd-pd-multiwriter"} 100000

# 0.12 MiBps
gcp_info_pd_throughput_per_gb_bytes_sec{pd_type="zonal-standard-pd"} 125829
# 0.28 MiBps
gcp_info_pd_throughput_per_gb_bytes_sec{pd_type="zonal-balanced-pd"} 293601
# 0.48 MiBps
gcp_info_pd_throughput_per_gb_bytes_sec{pd_type="zonal-ssd-pd"} 503316
# 0.48 MiBps
gcp_info_pd_throughput_per_gb_bytes_sec{pd_type="zonal-ssd-pd-multiwriter"} 503316

# 1200 MiBps
gcp_info_pd_read_throughput_per_instance_bytes_sec_max{pd_type="zonal-standard-pd"} 1258291200
# 1200 MiBps
gcp_info_pd_read_throughput_per_instance_bytes_sec_max{pd_type="zonal-balanced-pd"} 1258291200
# 1200 MiBps
gcp_info_pd_read_throughput_per_instance_bytes_sec_max{pd_type="zonal-ssd-pd"} 1258291200
# 4000 MiBps
gcp_info_pd_read_throughput_per_instance_bytes_sec_max{pd_type="zonal-extreme-pd"} 4194304000
# 1200 MiBps
gcp_info_pd_read_throughput_per_instance_bytes_sec_max{pd_type="zonal-ssd-pd-multiwriter"} 1258291200

# 400 MiBps
gcp_info_pd_write_throughput_per_instance_bytes_sec_max{pd_type="zonal-standard-pd"} 419430400
# 1200 MiBps
gcp_info_pd_write_throughput_per_instance_bytes_sec_max{pd_type="zonal-balanced-pd"} 1258291200
# 1200 MiBps
gcp_info_pd_write_throughput_per_instance_bytes_sec_max{pd_type="zonal-ssd-pd"} 1258291200
# 3000 MiBps
gcp_info_pd_write_throughput_per_instance_bytes_sec_max{pd_type="zonal-extreme-pd"} 3145728000
# 1200 MiBps
gcp_info_pd_write_throughput_per_instance_bytes_sec_max{pd_type="zonal-ssd-pd-multiwriter"} 1258291200

# # Regional disks
gcp_info_pd_read_iops_per_gb{pd_type="regional-standard-pd"} 0.75
gcp_info_pd_read_iops_per_gb{pd_type="regional-balanced-pd"} 6
gcp_info_pd_read_iops_per_gb{pd_type="regional-ssd-pd"} 30

gcp_info_pd_write_iops_per_gb{pd_type="regional-standard-pd"} 1.5
gcp_info_pd_write_iops_per_gb{pd_type="regional-balanced-pd"} 6
gcp_info_pd_write_iops_per_gb{pd_type="regional-ssd-pd"} 30

gcp_info_pd_read_iops_per_instance_max{pd_type="regional-standard-pd"} 7500
gcp_info_pd_read_iops_per_instance_max{pd_type="regional-balanced-pd"} 80000
gcp_info_pd_read_iops_per_instance_max{pd_type="regional-ssd-pd"} 100000
gcp_info_pd_read_iops_per_instance_max{pd_type="regional-balanced-pd", machine_type="n2d"} 60000
gcp_info_pd_read_iops_per_instance_max{pd_type="regional-ssd-pd", machine_type="n2d"} 70000

gcp_info_pd_write_iops_per_instance_max{pd_type="regional-standard-pd"} 15000
gcp_info_pd_write_iops_per_instance_max{pd_type="regional-balanced-pd"} 60000
gcp_info_pd_write_iops_per_instance_max{pd_type="regional-ssd-pd"} 80000
gcp_info_pd_write_iops_per_instance_max{pd_type="regional-balanced-pd", machine_type="n2d"} 50000
gcp_info_pd_write_iops_per_instance_max{pd_type="regional-ssd-pd", machine_type="n2d"} 60000

# 1200 MiBps
gcp_info_pd_read_throughput_per_instance_bytes_sec_max{pd_type="regional-standard-pd"} 1258291200
gcp_info_pd_read_throughput_per_instance_bytes_sec_max{pd_type="regional-balanced-pd"} 1258291200
gcp_info_pd_read_throughput_per_instance_bytes_sec_max{pd_type="regional-ssd-pd"} 1258291200

# 200 MiBps
gcp_info_pd_write_throughput_per_instance_bytes_sec_max{pd_type="regional-standard-pd"} 209715200
# 600 MiBps
gcp_info_pd_write_throughput_per_instance_bytes_sec_max{pd_type="regional-balanced-pd"} 629145600
# 1000 MiBps
gcp_info_pd_write_throughput_per_instance_bytes_sec_max{pd_type="regional-ssd-pd"} 1048576000
# 600 MiBps
gcp_info_pd_write_throughput_per_instance_bytes_sec_max{pd_type="regional-ssd-pd", machine_type="n2d"} 629145600

# TODO: Add max numbers per machine type as per https://cloud.google.com/compute/docs/disks/performance#machine-type-disk-limits
